t,P
0,15.0
1,19.133075383393706
2,25.12331046716461
3,31.276125421707082
4,37.50263329179141
5,46.42913220493126
6,56.279521713882154
7,71.20273826913372
8,92.91276267352596
9,115.01206569136208
10,141.54894897840876
11,176.17380494234865
12,216.73866709838185
13,263.074382899131
14,312.87762148514787
15,369.9548107366789
16,432.69970755529545
17,492.2460555946069
18,553.5467671034232
19,608.4579977720103
20,660.4224841156412
21,705.0428863989493
22,747.218353357087
23,779.5665706198738
24,809.453670570661
25,832.6478332202415
26,849.6278147530213
27,856.6507273750844
28,866.8571640900102
29,875.6741665366337
30,882.5845735617929
31,883.5411944597864
32,886.8709992227981
33,888.0471953172795
34,889.3274392286113
35,894.9325661420016
36,894.3246219471854
37,895.822402676841
38,899.1976749853051
39,897.9631246374279
40,898.2529041081566
41,899.0173016978459
42,899.4516112193458
43,896.542426951361
44,897.6971787062688
45,901.7373774050285
46,897.3821109535558
47,900.26144445544
48,900.4866038067172
49,898.7466050896637
50,904.0981082752313
51,904.8510622854874
52,900.4872212730842
53,900.5370160355723
54,901.8282857846293
55,900.8433705225619
56,902.3142811590385
57,901.4983228549794
58,902.7462129221312
59,905.5712334809461
60,902.3124760122118
61,902.1711655740044
62,900.4035037066194
63,900.6086430432
64,897.4701214215019
65,896.7282422322534
66,897.1505142177786
67,900.1927538288488
68,903.0018262163723
69,898.8496919846026
70,897.1847606490702
71,899.5878204900654
72,894.722128437138
73,895.0333415235746
74,896.1731141883562
75,900.3826234194954
76,901.998953066585
77,900.6199695154509
78,899.5248187365236
79,899.032310740974
80,903.1117959031966
81,901.167418119816
82,900.0809160728907
83,900.9397302037222
84,900.3744048939642
85,899.7763173424879
86,897.0537650626017
87,897.8472066371037
88,897.3395938708412
89,900.9976250574632
90,902.3507016630026
91,901.6304270275855
92,902.8440329937612
93,901.1955134466391
94,903.490640921345
95,902.4959718053208
96,903.25361740187
97,899.1120779856651
98,900.2271509901627
99,895.9430223669227
100,891.9855331430521
101,893.4484084796964
102,893.019681154823
103,895.3691435781637
104,902.2710032172309
105,899.5542098211298
106,898.1191102783399
107,899.1581686334324
108,900.6261941663645
109,900.0097226423985
110,899.4921744474847
111,901.390442758544
112,902.3002863979607
113,899.070370438677
114,899.1324445536256
115,899.4633430417233
116,896.977305834703
117,898.4704154300001
118,896.7530800320944
119,900.0891045073475
120,900.5460175567009
121,900.6163061020826
122,898.9660513410264
123,898.9586998125645
124,894.2555607931093
125,893.0252188692816
126,895.8701222837325
127,891.6997641628583
128,896.1189178385314
129,892.8356934512541
130,896.7175770518627
131,895.5195608905708
132,898.7153162035207
133,899.4018922238437
134,895.727163755755
135,900.0407497821734
136,903.6336072153574
137,902.4475772985115
138,901.0756012215008
139,900.3744055345134
140,897.8316475665014
141,901.1837903798986
142,899.4946632656396
143,899.5081020725755
144,897.6625172066914
145,896.750129782599
146,894.4624947156763
147,899.146129579421
148,898.9997675347073
149,901.6943254160383
150,901.2523326731504
151,899.1651827783057
152,898.5820016308832
153,897.5778379908398
154,898.2741158532963
155,897.8182696159537
156,897.6778689610863
157,894.8799513395121
158,894.2882943992626
159,900.0125662809775
